Filename:  C:\Users\bier\Desktop\testzeug\step1_2_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\testzeug\step_2.1428_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.2856_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.4283_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.5711_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.7138_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.8567_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.9994_100kv10w60s.mca;;
Description:  ;;;;;;Description:  ;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;
TimeStamp:  06/03/2015 17:37:09;;;;;;TimeStamp:  06/03/2015 17:40:06;;;;;;TimeStamp:  06/03/2015 17:42:40;;;;;;;;;;;TimeStamp:  06/03/2015 17:44:26;;;;;;;;;;;TimeStamp:  06/03/2015 17:46:12;;;;;;;;;;;TimeStamp:  06/03/2015 17:49:08;;;;;;;;;;;TimeStamp:  06/03/2015 17:53:05;;;;;;;;;;;TimeStamp:  06/03/2015 17:56:43;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibration Information;;;;;;Calibration Information;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;
Label:  Channel;;;;;;Label:  Channel;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;
Channel;Value;;;;;Channel;Value;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;
296;58.5;;;;;296;58.5;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;
337;67.24;;;;;337;67.24;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;
A;B;C;;;;A;B;C;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C
115;2567;;;;;115;3121;;;;;115;3498;;;;;;;;;;115;3400;;;;;;;;;;115;3161;;;;;;;;;;115;2865;;;;;;;;;;115;2387;;;;;;;;;;115;2379;
116;2735;;;;;116;3153;;;;;116;3415;;;;;;;;;;116;3524;;;;;;;;;;116;3302;;;;;;;;;;116;2858;;;;;;;;;;116;2571;;;;;;;;;;116;2500;
117;2760;;;;;117;3246;;;;;117;3665;;;;;;;;;;117;3663;;;;;;;;;;117;3265;;;;;;;;;;117;2856;;;;;;;;;;117;2463;;;;;;;;;;117;2431;
118;2835;;;;;118;3359;;;;;118;3713;;;;;;;;;;118;3747;;;;;;;;;;118;3370;;;;;;;;;;118;3002;;;;;;;;;;118;2590;;;;;;;;;;118;2647;
119;2793;;;;;119;3420;;;;;119;3721;;;;;;;;;;119;3759;;;;;;;;;;119;3444;;;;;;;;;;119;3115;;;;;;;;;;119;2608;;;;;;;;;;119;2602;
120;2850;;;;;120;3496;;;;;120;3840;;;;;;;;;;120;3893;;;;;;;;;;120;3586;;;;;;;;;;120;3024;;;;;;;;;;120;2774;;;;;;;;;;120;2567;
121;3007;;;;;121;3582;;;;;121;3958;;;;;;;;;;121;3973;;;;;;;;;;121;3544;;;;;;;;;;121;3231;;;;;;;;;;121;2823;;;;;;;;;;121;2605;
122;3039;;;;;122;3684;;;;;122;4097;;;;;;;;;;122;4066;;;;;;;;;;122;3680;;;;;;;;;;122;3222;;;;;;;;;;122;2815;;;;;;;;;;122;2797;
123;3168;;;;;123;3653;;;;;123;4187;;;;;;;;;;123;4136;;;;;;;;;;123;3724;;;;;;;;;;123;3207;;;;;;;;;;123;2857;;;;;;;;;;123;2698;
124;3186;;;;;124;3799;;;;;124;4211;;;;;;;;;;124;4186;;;;;;;;;;124;3848;;;;;;;;;;124;3446;;;;;;;;;;124;2874;;;;;;;;;;124;2776;
125;3232;;;;;125;3934;;;;;125;4373;;;;;;;;;;125;4218;;;;;;;;;;125;4030;;;;;;;;;;125;3345;;;;;;;;;;125;3023;;;;;;;;;;125;2896;
126;3283;;;;;126;3974;;;;;126;4478;;;;;;;;;;126;4426;;;;;;;;;;126;4048;;;;;;;;;;126;3452;;;;;;;;;;126;3039;;;;;;;;;;126;3034;
127;3257;;;;;127;4029;;;;;127;4606;;;;;;;;;;127;4611;;;;;;;;;;127;4167;;;;;;;;;;127;3568;;;;;;;;;;127;2969;;;;;;;;;;127;3115;
128;3350;;;;;128;4107;;;;;128;4457;;;;;;;;;;128;4538;;;;;;;;;;128;4090;;;;;;;;;;128;3524;;;;;;;;;;128;3020;;;;;;;;;;128;3072;
129;3450;;;;;129;4065;;;;;129;4523;;;;;;;;;;129;4634;;;;;;;;;;129;4294;;;;;;;;;;129;3556;;;;;;;;;;129;3146;;;;;;;;;;129;3082;
130;3407;;;;;130;4127;;;;;130;4577;;;;;;;;;;130;4531;;;;;;;;;;130;4201;;;;;;;;;;130;3739;;;;;;;;;;130;3104;;;;;;;;;;130;3056;
131;3410;;;;;131;4017;;;;;131;4631;;;;;;;;;;131;4733;;;;;;;;;;131;4251;;;;;;;;;;131;3585;;;;;;;;;;131;3218;;;;;;;;;;131;3262;
132;3445;;;;;132;4209;;;;;132;4733;;;;;;;;;;132;4661;;;;;;;;;;132;4135;;;;;;;;;;132;3601;;;;;;;;;;132;3163;;;;;;;;;;132;3144;
133;3407;;;;;133;4247;;;;;133;4624;;;;;;;;;;133;4645;;;;;;;;;;133;4327;;;;;;;;;;133;3675;;;;;;;;;;133;3004;;;;;;;;;;133;3141;
134;3355;;;;;134;4201;;;;;134;4739;;;;;;;;;;134;4779;;;;;;;;;;134;4408;;;;;;;;;;134;3679;;;;;;;;;;134;3271;;;;;;;;;;134;3195;
135;3447;;;;;135;4197;;;;;135;4753;;;;;;;;;;135;4758;;;;;;;;;;135;4286;;;;;;;;;;135;3713;;;;;;;;;;135;3123;;;;;;;;;;135;3121;
136;3486;;;;;136;4249;;;;;136;4718;;;;;;;;;;136;4701;;;;;;;;;;136;4306;;;;;;;;;;136;3790;;;;;;;;;;136;3161;;;;;;;;;;136;3200;
137;3422;;;;;137;4110;;;;;137;4790;;;;;;;;;;137;4716;;;;;;;;;;137;4258;;;;;;;;;;137;3685;;;;;;;;;;137;3098;;;;;;;;;;137;3194;
138;3513;;;;;138;4189;;;;;138;4721;;;;;;;;;;138;4860;;;;;;;;;;138;4258;;;;;;;;;;138;3604;;;;;;;;;;138;3159;;;;;;;;;;138;3139;
139;3423;;;;;139;4152;;;;;139;4814;;;;;;;;;;139;4778;;;;;;;;;;139;4477;;;;;;;;;;139;3692;;;;;;;;;;139;3173;;;;;;;;;;139;3238;
140;3480;;;;;140;4340;;;;;140;4832;;;;;;;;;;140;4788;;;;;;;;;;140;4340;;;;;;;;;;140;3723;;;;;;;;;;140;3285;;;;;;;;;;140;3162;
141;3519;;;;;141;4403;;;;;141;4952;;;;;;;;;;141;4787;;;;;;;;;;141;4336;;;;;;;;;;141;3674;;;;;;;;;;141;3290;;;;;;;;;;141;3287;
142;3638;;;;;142;4236;;;;;142;4858;;;;;;;;;;142;4879;;;;;;;;;;142;4419;;;;;;;;;;142;3804;;;;;;;;;;142;3230;;;;;;;;;;142;3191;
143;3569;;;;;143;4404;;;;;143;4958;;;;;;;;;;143;4968;;;;;;;;;;143;4417;;;;;;;;;;143;3806;;;;;;;;;;143;3176;;;;;;;;;;143;3223;
144;3606;;;;;144;4472;;;;;144;5111;;;;;;;;;;144;5061;;;;;;;;;;144;4591;;;;;;;;;;144;3862;;;;;;;;;;144;3285;;;;;;;;;;144;3229;
145;3554;;;;;145;4422;;;;;145;5119;;;;;;;;;;145;5220;;;;;;;;;;145;4525;;;;;;;;;;145;3892;;;;;;;;;;145;3396;;;;;;;;;;145;3290;
146;3597;;;;;146;4518;;;;;146;5139;;;;;;;;;;146;5049;;;;;;;;;;146;4525;;;;;;;;;;146;3919;;;;;;;;;;146;3279;;;;;;;;;;146;3311;
147;3725;;;;;147;4547;;;;;147;5228;;;;;;;;;;147;5183;;;;;;;;;;147;4557;;;;;;;;;;147;3998;;;;;;;;;;147;3331;;;;;;;;;;147;3312;
148;3719;;;;;148;4685;;;;;148;5240;;;;;;;;;;148;5172;;;;;;;;;;148;4742;;;;;;;;;;148;3822;;;;;;;;;;148;3421;;;;;;;;;;148;3290;
149;3746;;;;;149;4743;;;;;149;5310;;;;;;;;;;149;5475;;;;;;;;;;149;4791;;;;;;;;;;149;3908;;;;;;;;;;149;3448;;;;;;;;;;149;3377;
150;3813;;;;;150;4656;;;;;150;5279;;;;;;;;;;150;5242;;;;;;;;;;150;4731;;;;;;;;;;150;4002;;;;;;;;;;150;3385;;;;;;;;;;150;3480;
151;3690;;;;;151;4797;;;;;151;5340;;;;;;;;;;151;5425;;;;;;;;;;151;4727;;;;;;;;;;151;4108;;;;;;;;;;151;3370;;;;;;;;;;151;3333;
152;3826;;;;;152;4814;;;;;152;5368;;;;;;;;;;152;5412;;;;;;;;;;152;4806;;;;;;;;;;152;4137;;;;;;;;;;152;3493;;;;;;;;;;152;3520;
153;3882;;;;;153;4732;;;;;153;5518;;;;;;;;;;153;5336;;;;;;;;;;153;4876;;;;;;;;;;153;4051;;;;;;;;;;153;3516;;;;;;;;;;153;3474;
154;3890;;;;;154;4905;;;;;154;5555;;;;;;;;;;154;5445;;;;;;;;;;154;4897;;;;;;;;;;154;4074;;;;;;;;;;154;3518;;;;;;;;;;154;3481;
155;3906;;;;;155;4857;;;;;155;5545;;;;;;;;;;155;5528;;;;;;;;;;155;5045;;;;;;;;;;155;4214;;;;;;;;;;155;3609;;;;;;;;;;155;3584;
156;3896;;;;;156;4961;;;;;156;5670;;;;;;;;;;156;5572;;;;;;;;;;156;4844;;;;;;;;;;156;4373;;;;;;;;;;156;3687;;;;;;;;;;156;3614;
157;4058;;;;;157;4989;;;;;157;5749;;;;;;;;;;157;5628;;;;;;;;;;157;5016;;;;;;;;;;157;4239;;;;;;;;;;157;3644;;;;;;;;;;157;3625;
158;3990;;;;;158;4894;;;;;158;5577;;;;;;;;;;158;5534;;;;;;;;;;158;4919;;;;;;;;;;158;4100;;;;;;;;;;158;3655;;;;;;;;;;158;3552;
159;3934;;;;;159;4930;;;;;159;5431;;;;;;;;;;159;5634;;;;;;;;;;159;4939;;;;;;;;;;159;4133;;;;;;;;;;159;3724;;;;;;;;;;159;3636;
160;3968;;;;;160;4889;;;;;160;5603;;;;;;;;;;160;5378;;;;;;;;;;160;5023;;;;;;;;;;160;4308;;;;;;;;;;160;3600;;;;;;;;;;160;3585;
161;3931;;;;;161;4883;;;;;161;5595;;;;;;;;;;161;5601;;;;;;;;;;161;5036;;;;;;;;;;161;4124;;;;;;;;;;161;3489;;;;;;;;;;161;3577;
162;3931;;;;;162;4952;;;;;162;5495;;;;;;;;;;162;5464;;;;;;;;;;162;4952;;;;;;;;;;162;4176;;;;;;;;;;162;3692;;;;;;;;;;162;3527;
163;3901;;;;;163;4803;;;;;163;5530;;;;;;;;;;163;5486;;;;;;;;;;163;4822;;;;;;;;;;163;4114;;;;;;;;;;163;3666;;;;;;;;;;163;3484;
164;3954;;;;;164;4866;;;;;164;5398;;;;;;;;;;164;5497;;;;;;;;;;164;4906;;;;;;;;;;164;4131;;;;;;;;;;164;3520;;;;;;;;;;164;3510;
165;3835;;;;;165;4846;;;;;165;5465;;;;;;;;;;165;5508;;;;;;;;;;165;5015;;;;;;;;;;165;4092;;;;;;;;;;165;3508;;;;;;;;;;165;3425;
166;3883;;;;;166;4864;;;;;166;5487;;;;;;;;;;166;5454;;;;;;;;;;166;4922;;;;;;;;;;166;4032;;;;;;;;;;166;3609;;;;;;;;;;166;3523;
167;3825;;;;;167;4788;;;;;167;5382;;;;;;;;;;167;5396;;;;;;;;;;167;4909;;;;;;;;;;167;4020;;;;;;;;;;167;3559;;;;;;;;;;167;3470;
168;3918;;;;;168;4895;;;;;168;5556;;;;;;;;;;168;5485;;;;;;;;;;168;4941;;;;;;;;;;168;4095;;;;;;;;;;168;3538;;;;;;;;;;168;3490;
169;3922;;;;;169;4818;;;;;169;5544;;;;;;;;;;169;5365;;;;;;;;;;169;4769;;;;;;;;;;169;4086;;;;;;;;;;169;3622;;;;;;;;;;169;3473;
170;3964;;;;;170;4962;;;;;170;5557;;;;;;;;;;170;5562;;;;;;;;;;170;4805;;;;;;;;;;170;4054;;;;;;;;;;170;3540;;;;;;;;;;170;3484;
171;3873;;;;;171;4937;;;;;171;5571;;;;;;;;;;171;5513;;;;;;;;;;171;5006;;;;;;;;;;171;4180;;;;;;;;;;171;3520;;;;;;;;;;171;3392;
172;4103;;;;;172;4909;;;;;172;5576;;;;;;;;;;172;5527;;;;;;;;;;172;4986;;;;;;;;;;172;4122;;;;;;;;;;172;3633;;;;;;;;;;172;3635;
173;4029;;;;;173;4991;;;;;173;5608;;;;;;;;;;173;5541;;;;;;;;;;173;5025;;;;;;;;;;173;4083;;;;;;;;;;173;3619;;;;;;;;;;173;3494;
174;4115;;;;;174;5112;;;;;174;5730;;;;;;;;;;174;5623;;;;;;;;;;174;5148;;;;;;;;;;174;4267;;;;;;;;;;174;3706;;;;;;;;;;174;3719;
175;4059;;;;;175;5012;;;;;175;5662;;;;;;;;;;175;5515;;;;;;;;;;175;5155;;;;;;;;;;175;4390;;;;;;;;;;175;3679;;;;;;;;;;175;3684;
176;4157;;;;;176;5081;;;;;176;5991;;;;;;;;;;176;5769;;;;;;;;;;176;5258;;;;;;;;;;176;4393;;;;;;;;;;176;3704;;;;;;;;;;176;3659;
177;4171;;;;;177;5060;;;;;177;5859;;;;;;;;;;177;5780;;;;;;;;;;177;5231;;;;;;;;;;177;4457;;;;;;;;;;177;3858;;;;;;;;;;177;3605;
178;4239;;;;;178;5345;;;;;178;5973;;;;;;;;;;178;5818;;;;;;;;;;178;5284;;;;;;;;;;178;4442;;;;;;;;;;178;3764;;;;;;;;;;178;3863;
179;4175;;;;;179;5197;;;;;179;5895;;;;;;;;;;179;5901;;;;;;;;;;179;5172;;;;;;;;;;179;4397;;;;;;;;;;179;3841;;;;;;;;;;179;3732;
180;4269;;;;;180;5363;;;;;180;5942;;;;;;;;;;180;5880;;;;;;;;;;180;5166;;;;;;;;;;180;4461;;;;;;;;;;180;3954;;;;;;;;;;180;3733;
181;4378;;;;;181;5303;;;;;181;5946;;;;;;;;;;181;6077;;;;;;;;;;181;5307;;;;;;;;;;181;4460;;;;;;;;;;181;3929;;;;;;;;;;181;3886;
182;4419;;;;;182;5181;;;;;182;6041;;;;;;;;;;182;5837;;;;;;;;;;182;5354;;;;;;;;;;182;4493;;;;;;;;;;182;3993;;;;;;;;;;182;3945;
183;4328;;;;;183;5405;;;;;183;6094;;;;;;;;;;183;5808;;;;;;;;;;183;5390;;;;;;;;;;183;4425;;;;;;;;;;183;3931;;;;;;;;;;183;3883;
184;4202;;;;;184;5287;;;;;184;5925;;;;;;;;;;184;5974;;;;;;;;;;184;5424;;;;;;;;;;184;4509;;;;;;;;;;184;3761;;;;;;;;;;184;3930;
185;4305;;;;;185;5243;;;;;185;5921;;;;;;;;;;185;5949;;;;;;;;;;185;5200;;;;;;;;;;185;4473;;;;;;;;;;185;3930;;;;;;;;;;185;3923;
186;4246;;;;;186;5132;;;;;186;5875;;;;;;;;;;186;5980;;;;;;;;;;186;5410;;;;;;;;;;186;4487;;;;;;;;;;186;3940;;;;;;;;;;186;3737;
187;4127;;;;;187;5165;;;;;187;6003;;;;;;;;;;187;5847;;;;;;;;;;187;5214;;;;;;;;;;187;4344;;;;;;;;;;187;3834;;;;;;;;;;187;3889;
188;4213;;;;;188;5079;;;;;188;5910;;;;;;;;;;188;5832;;;;;;;;;;188;5097;;;;;;;;;;188;4420;;;;;;;;;;188;3790;;;;;;;;;;188;3883;
189;4128;;;;;189;5121;;;;;189;5925;;;;;;;;;;189;5769;;;;;;;;;;189;5115;;;;;;;;;;189;4319;;;;;;;;;;189;3806;;;;;;;;;;189;3796;
190;4209;;;;;190;5284;;;;;190;5823;;;;;;;;;;190;5656;;;;;;;;;;190;5199;;;;;;;;;;190;4330;;;;;;;;;;190;3774;;;;;;;;;;190;3760;
191;4196;;;;;191;5050;;;;;191;5923;;;;;;;;;;191;5793;;;;;;;;;;191;5169;;;;;;;;;;191;4329;;;;;;;;;;191;3736;;;;;;;;;;191;3717;
192;4117;;;;;192;5109;;;;;192;5890;;;;;;;;;;192;5833;;;;;;;;;;192;5033;;;;;;;;;;192;4183;;;;;;;;;;192;3929;;;;;;;;;;192;3766;
193;4151;;;;;193;5016;;;;;193;5923;;;;;;;;;;193;5944;;;;;;;;;;193;5131;;;;;;;;;;193;4455;;;;;;;;;;193;3702;;;;;;;;;;193;3715;
194;4197;;;;;194;5029;;;;;194;5852;;;;;;;;;;194;5740;;;;;;;;;;194;5198;;;;;;;;;;194;4389;;;;;;;;;;194;3962;;;;;;;;;;194;3706;
195;4134;;;;;195;5286;;;;;195;5800;;;;;;;;;;195;5798;;;;;;;;;;195;5287;;;;;;;;;;195;4387;;;;;;;;;;195;3804;;;;;;;;;;195;3724;
196;4201;;;;;196;5118;;;;;196;5912;;;;;;;;;;196;5747;;;;;;;;;;196;5171;;;;;;;;;;196;4505;;;;;;;;;;196;3899;;;;;;;;;;196;3784;
197;4304;;;;;197;5204;;;;;197;5858;;;;;;;;;;197;5916;;;;;;;;;;197;5214;;;;;;;;;;197;4435;;;;;;;;;;197;3768;;;;;;;;;;197;3830;
198;4259;;;;;198;5230;;;;;198;5859;;;;;;;;;;198;5850;;;;;;;;;;198;5185;;;;;;;;;;198;4405;;;;;;;;;;198;3850;;;;;;;;;;198;3771;
199;4384;;;;;199;5245;;;;;199;6017;;;;;;;;;;199;5947;;;;;;;;;;199;5106;;;;;;;;;;199;4495;;;;;;;;;;199;3901;;;;;;;;;;199;3903;
200;4243;;;;;200;5263;;;;;200;6031;;;;;;;;;;200;5993;;;;;;;;;;200;5230;;;;;;;;;;200;4450;;;;;;;;;;200;3876;;;;;;;;;;200;3808;
201;4387;;;;;201;5417;;;;;201;5986;;;;;;;;;;201;5888;;;;;;;;;;201;5318;;;;;;;;;;201;4450;;;;;;;;;;201;3801;;;;;;;;;;201;3952;
202;4342;;;;;202;5383;;;;;202;5950;;;;;;;;;;202;5914;;;;;;;;;;202;5226;;;;;;;;;;202;4601;;;;;;;;;;202;3885;;;;;;;;;;202;3985;
203;4387;;;;;203;5332;;;;;203;6017;;;;;;;;;;203;5853;;;;;;;;;;203;5264;;;;;;;;;;203;4571;;;;;;;;;;203;3991;;;;;;;;;;203;4050;
204;4261;;;;;204;5357;;;;;204;5995;;;;;;;;;;204;5868;;;;;;;;;;204;5313;;;;;;;;;;204;4568;;;;;;;;;;204;3928;;;;;;;;;;204;3878;
205;4315;;;;;205;5387;;;;;205;6038;;;;;;;;;;205;5801;;;;;;;;;;205;5472;;;;;;;;;;205;4464;;;;;;;;;;205;4114;;;;;;;;;;205;3897;
206;4356;;;;;206;5385;;;;;206;6033;;;;;;;;;;206;5868;;;;;;;;;;206;5406;;;;;;;;;;206;4437;;;;;;;;;;206;4049;;;;;;;;;;206;4078;
207;4453;;;;;207;5501;;;;;207;6003;;;;;;;;;;207;5877;;;;;;;;;;207;5332;;;;;;;;;;207;4585;;;;;;;;;;207;3899;;;;;;;;;;207;3902;
208;4441;;;;;208;5281;;;;;208;5996;;;;;;;;;;208;5821;;;;;;;;;;208;5470;;;;;;;;;;208;4581;;;;;;;;;;208;4046;;;;;;;;;;208;4079;
209;4449;;;;;209;5436;;;;;209;5889;;;;;;;;;;209;5889;;;;;;;;;;209;5492;;;;;;;;;;209;4573;;;;;;;;;;209;4004;;;;;;;;;;209;4081;
210;4473;;;;;210;5384;;;;;210;5997;;;;;;;;;;210;5930;;;;;;;;;;210;5367;;;;;;;;;;210;4599;;;;;;;;;;210;4011;;;;;;;;;;210;4070;
211;4501;;;;;211;5324;;;;;211;6059;;;;;;;;;;211;5917;;;;;;;;;;211;5455;;;;;;;;;;211;4655;;;;;;;;;;211;4088;;;;;;;;;;211;4112;
212;4335;;;;;212;5358;;;;;212;6066;;;;;;;;;;212;6062;;;;;;;;;;212;5437;;;;;;;;;;212;4674;;;;;;;;;;212;4062;;;;;;;;;;212;4088;
213;4530;;;;;213;5366;;;;;213;6148;;;;;;;;;;213;5993;;;;;;;;;;213;5489;;;;;;;;;;213;4573;;;;;;;;;;213;4116;;;;;;;;;;213;4096;
214;4526;;;;;214;5471;;;;;214;6133;;;;;;;;;;214;5998;;;;;;;;;;214;5477;;;;;;;;;;214;4626;;;;;;;;;;214;4125;;;;;;;;;;214;4081;
215;4625;;;;;215;5500;;;;;215;6201;;;;;;;;;;215;5992;;;;;;;;;;215;5290;;;;;;;;;;215;4746;;;;;;;;;;215;4134;;;;;;;;;;215;4098;
216;4551;;;;;216;5579;;;;;216;6058;;;;;;;;;;216;6061;;;;;;;;;;216;5423;;;;;;;;;;216;4593;;;;;;;;;;216;4126;;;;;;;;;;216;4166;
217;4610;;;;;217;5568;;;;;217;6163;;;;;;;;;;217;5931;;;;;;;;;;217;5525;;;;;;;;;;217;4498;;;;;;;;;;217;4186;;;;;;;;;;217;4171;
218;4580;;;;;218;5537;;;;;218;6131;;;;;;;;;;218;5972;;;;;;;;;;218;5446;;;;;;;;;;218;4546;;;;;;;;;;218;4109;;;;;;;;;;218;4268;
219;4611;;;;;219;5665;;;;;219;6178;;;;;;;;;;219;6013;;;;;;;;;;219;5422;;;;;;;;;;219;4813;;;;;;;;;;219;4265;;;;;;;;;;219;4190;
220;4714;;;;;220;5684;;;;;220;6096;;;;;;;;;;220;5985;;;;;;;;;;220;5434;;;;;;;;;;220;4663;;;;;;;;;;220;4241;;;;;;;;;;220;4239;
221;4682;;;;;221;5610;;;;;221;6159;;;;;;;;;;221;6032;;;;;;;;;;221;5477;;;;;;;;;;221;4735;;;;;;;;;;221;4358;;;;;;;;;;221;4243;
222;4732;;;;;222;5537;;;;;222;6153;;;;;;;;;;222;6013;;;;;;;;;;222;5570;;;;;;;;;;222;4835;;;;;;;;;;222;4212;;;;;;;;;;222;4322;
223;4608;;;;;223;5689;;;;;223;6082;;;;;;;;;;223;6035;;;;;;;;;;223;5509;;;;;;;;;;223;4762;;;;;;;;;;223;4441;;;;;;;;;;223;4419;
224;4722;;;;;224;5540;;;;;224;6156;;;;;;;;;;224;6067;;;;;;;;;;224;5529;;;;;;;;;;224;4749;;;;;;;;;;224;4316;;;;;;;;;;224;4354;
225;4744;;;;;225;5600;;;;;225;6047;;;;;;;;;;225;6098;;;;;;;;;;225;5573;;;;;;;;;;225;4787;;;;;;;;;;225;4240;;;;;;;;;;225;4407;
226;4673;;;;;226;5676;;;;;226;5968;;;;;;;;;;226;6034;;;;;;;;;;226;5605;;;;;;;;;;226;4799;;;;;;;;;;226;4352;;;;;;;;;;226;4445;
227;4749;;;;;227;5650;;;;;227;6136;;;;;;;;;;227;6026;;;;;;;;;;227;5573;;;;;;;;;;227;4874;;;;;;;;;;227;4380;;;;;;;;;;227;4411;
228;4734;;;;;228;5751;;;;;228;6176;;;;;;;;;;228;5911;;;;;;;;;;228;5636;;;;;;;;;;228;4831;;;;;;;;;;228;4446;;;;;;;;;;228;4368;
229;4667;;;;;229;5466;;;;;229;5950;;;;;;;;;;229;5965;;;;;;;;;;229;5575;;;;;;;;;;229;4829;;;;;;;;;;229;4377;;;;;;;;;;229;4385;
230;4758;;;;;230;5489;;;;;230;6084;;;;;;;;;;230;6032;;;;;;;;;;230;5521;;;;;;;;;;230;4798;;;;;;;;;;230;4354;;;;;;;;;;230;4507;
231;4660;;;;;231;5684;;;;;231;6093;;;;;;;;;;231;6148;;;;;;;;;;231;5523;;;;;;;;;;231;4727;;;;;;;;;;231;4578;;;;;;;;;;231;4511;
232;4797;;;;;232;5592;;;;;232;6234;;;;;;;;;;232;6171;;;;;;;;;;232;5572;;;;;;;;;;232;4927;;;;;;;;;;232;4417;;;;;;;;;;232;4289;
233;4805;;;;;233;5675;;;;;233;6149;;;;;;;;;;233;5993;;;;;;;;;;233;5572;;;;;;;;;;233;4859;;;;;;;;;;233;4390;;;;;;;;;;233;4489;
234;4970;;;;;234;5748;;;;;234;6250;;;;;;;;;;234;6026;;;;;;;;;;234;5641;;;;;;;;;;234;4854;;;;;;;;;;234;4527;;;;;;;;;;234;4439;
235;4753;;;;;235;5640;;;;;235;6179;;;;;;;;;;235;6090;;;;;;;;;;235;5635;;;;;;;;;;235;4692;;;;;;;;;;235;4368;;;;;;;;;;235;4444;
236;4715;;;;;236;5597;;;;;236;5966;;;;;;;;;;236;5999;;;;;;;;;;236;5553;;;;;;;;;;236;4811;;;;;;;;;;236;4432;;;;;;;;;;236;4489;
237;4736;;;;;237;5677;;;;;237;6140;;;;;;;;;;237;6098;;;;;;;;;;237;5534;;;;;;;;;;237;4821;;;;;;;;;;237;4570;;;;;;;;;;237;4541;
238;4762;;;;;238;5650;;;;;238;6203;;;;;;;;;;238;6075;;;;;;;;;;238;5557;;;;;;;;;;238;4897;;;;;;;;;;238;4475;;;;;;;;;;238;4543;
239;4917;;;;;239;5534;;;;;239;6052;;;;;;;;;;239;6111;;;;;;;;;;239;5560;;;;;;;;;;239;4949;;;;;;;;;;239;4636;;;;;;;;;;239;4583;
240;4846;;;;;240;5475;;;;;240;6033;;;;;;;;;;240;5966;;;;;;;;;;240;5465;;;;;;;;;;240;4972;;;;;;;;;;240;4515;;;;;;;;;;240;4647;
241;4995;;;;;241;5653;;;;;241;6191;;;;;;;;;;241;6005;;;;;;;;;;241;5599;;;;;;;;;;241;4911;;;;;;;;;;241;4585;;;;;;;;;;241;4510;
242;5028;;;;;242;5597;;;;;242;6176;;;;;;;;;;242;6023;;;;;;;;;;242;5618;;;;;;;;;;242;4833;;;;;;;;;;242;4461;;;;;;;;;;242;4647;
243;4746;;;;;243;5716;;;;;243;6075;;;;;;;;;;243;6101;;;;;;;;;;243;5630;;;;;;;;;;243;4968;;;;;;;;;;243;4535;;;;;;;;;;243;4451;
244;5012;;;;;244;5706;;;;;244;6091;;;;;;;;;;244;6070;;;;;;;;;;244;5499;;;;;;;;;;244;4958;;;;;;;;;;244;4491;;;;;;;;;;244;4531;
245;4816;;;;;245;5675;;;;;245;6056;;;;;;;;;;245;6004;;;;;;;;;;245;5551;;;;;;;;;;245;4889;;;;;;;;;;245;4585;;;;;;;;;;245;4557;
